Order Number,Organ Name,HU Value
0,body contour,0
1,spleen,40
2,kidney_right,30
3,kidney_left,30
4,gallbladder,-5
5,liver,50
6,stomach,30
7,pancreas,40
8,suprarenal gland (right),30
9,suprarenal gland (left),30
10,superior lobe of left lung,-800
11,inferior lobe of left lung,-800
12,superior lobe of right lung,-800
13,middle lobe of right lung,-800
14,inferior lobe of right lung,-800
15,esophagus,30
16,trachea,-1000
17,thyroid_gland,50
18,small intestine,40
19,duodenum,30
20,colon,50
21,urinary bladder,20
22,prostate,30
23,kidney_cyst_left,10
24,kidney_cyst_right,10
25,sacrum,700
26,vertebrae_S1,300
27,vertebrae_L5,300
28,vertebrae_L4,300
29,vertebrae_L3,300
30,vertebrae_L2,300
31,vertebrae_L1,300
32,vertebrae_T12,300
33,vertebrae_T11,300
34,vertebrae_T10,300
35,vertebrae_T9,300
36,vertebrae_T8,300
37,vertebrae_T7,300
38,vertebrae_T6,300
39,vertebrae_T5,300
40,vertebrae_T4,300
41,vertebrae_T3,300
42,vertebrae_T2,300
43,vertebrae_T1,300
44,vertebrae_C7,300
45,vertebrae_C6,300
46,vertebrae_C5,300
47,vertebrae_C4,300
48,vertebrae_C3,300
49,vertebrae_C2,300
50,vertebrae_C1,300
51,heart,50
52,aorta,50
53,pulmonary_vein,10
54,brachiocephalic_trunk,50
55,subclavian_artery_right,50
56,subclavian_artery_left,50
57,common_carotid_artery_right,50
58,common_carotid_artery_left,50
59,brachiocephalic_vein_left,10
60,brachiocephalic_vein_right,10
61,atrial_appendage_left,50
62,superior_vena_cava,10
63,inferior_vena_cava,10
64,portal_vein_and_splenic_vein,10
65,iliac_artery_left,50
66,iliac_artery_right,50
67,iliac_vena_left,10
68,iliac_vena_right,10
69,humerus_left,700
70,humerus_right,700
71,scapula_left,700
72,scapula_right,700
73,clavicula_left,1000
74,clavicula_right,1000
75,femur_left,700
76,femur_right,700
77,hip_left,700
78,hip_right,700
79,spinal_cord,40
80,gluteus_maximus_left,60
81,gluteus_maximus_right,60
82,gluteus_medius_left,60
83,gluteus_medius_right,60
84,gluteus_minimus_left,60
85,gluteus_minimus_right,60
86,autochthon_left,60
87,autochthon_right,60
88,iliopsoas_left,60
89,iliopsoas_right,60
90,brain,45
91,skull,3000
92,rib_left_1,700
93,rib_left_2,700
94,rib_left_3,700
95,rib_left_4,700
96,rib_left_5,700
97,rib_left_6,700
98,rib_left_7,700
99,rib_left_8,700
100,rib_left_9,700
101,rib_left_10,700
102,rib_left_11,700
103,rib_left_12,700
104,rib_right_1,700
105,rib_right_2,700
106,rib_right_3,700
107,rib_right_4,700
108,rib_right_5,700
109,rib_right_6,700
110,rib_right_7,700
111,rib_right_8,700
112,rib_right_9,700
113,rib_right_10,700
114,rib_right_11,700
115,rib_right_12,700
116,sternum,300
117,costal_cartilages,40
201,subcutaneous_fat,-100
202,torso_fat,-90
203,skeletal_muscle,55
