Order Number,Organ Name,HU Value
1,body contour,0
2,spleen,40
3,kidney_right,30
4,kidney_left,30
5,gallbladder,-5
6,liver,50
7,stomach,30
8,pancreas,40
9,suprarenal gland (right),30
10,suprarenal gland (left),30
11,superior lobe of left lung,-800
12,inferior lobe of left lung,-800
13,superior lobe of right lung,-800
14,middle lobe of right lung,-800
15,inferior lobe of right lung,-800
16,esophagus,30
17,trachea,-1000
18,thyroid_gland,50
19,small intestine,40
20,duodenum,30
21,colon,50
22,urinary bladder,20
23,prostate,30
24,kidney_cyst_left,10
25,kidney_cyst_right,10
26,sacrum,700
27,vertebrae_S1,300
28,vertebrae_L5,300
29,vertebrae_L4,300
30,vertebrae_L3,300
31,vertebrae_L2,300
32,vertebrae_L1,300
33,vertebrae_T12,300
34,vertebrae_T11,300
35,vertebrae_T10,300
36,vertebrae_T9,300
37,vertebrae_T8,300
38,vertebrae_T7,300
39,vertebrae_T6,300
40,vertebrae_T5,300
41,vertebrae_T4,300
42,vertebrae_T3,300
43,vertebrae_T2,300
44,vertebrae_T1,300
45,vertebrae_C7,300
46,vertebrae_C6,300
47,vertebrae_C5,300
48,vertebrae_C4,300
49,vertebrae_C3,300
50,vertebrae_C2,300
51,vertebrae_C1,300
52,heart,50
53,aorta,50
54,pulmonary_vein,10
55,brachiocephalic_trunk,50
56,subclavian_artery_right,50
57,subclavian_artery_left,50
58,common_carotid_artery_right,50
59,common_carotid_artery_left,50
60,brachiocephalic_vein_left,10
61,brachiocephalic_vein_right,10
62,atrial_appendage_left,50
63,superior_vena_cava,10
64,inferior_vena_cava,10
65,portal_vein_and_splenic_vein,10
66,iliac_artery_left,50
67,iliac_artery_right,50
68,iliac_vena_left,10
69,iliac_vena_right,10
70,humerus_left,700
71,humerus_right,700
72,scapula_left,700
73,scapula_right,700
74,clavicula_left,1000
75,clavicula_right,1000
76,femur_left,700
77,femur_right,700
78,hip_left,700
79,hip_right,700
80,spinal_cord,40
81,gluteus_maximus_left,60
82,gluteus_maximus_right,60
83,gluteus_medius_left,60
84,gluteus_medius_right,60
85,gluteus_minimus_left,60
86,gluteus_minimus_right,60
87,autochthon_left,60
88,autochthon_right,60
89,iliopsoas_left,60
90,iliopsoas_right,60
91,brain,45
92,skull,3000
93,rib_left_1,700
94,rib_left_2,700
95,rib_left_3,700
96,rib_left_4,700
97,rib_left_5,700
98,rib_left_6,700
99,rib_left_7,700
100,rib_left_8,700
101,rib_left_9,700
102,rib_left_10,700
103,rib_left_11,700
104,rib_left_12,700
105,rib_right_1,700
106,rib_right_2,700
107,rib_right_3,700
108,rib_right_4,700
109,rib_right_5,700
110,rib_right_6,700
111,rib_right_7,700
112,rib_right_8,700
113,rib_right_9,700
114,rib_right_10,700
115,rib_right_11,700
116,rib_right_12,700
117,sternum,300
118,costal_cartilages,40
202,subcutaneous_fat,-100
203,torso_fat,-90
204,skeletal_muscle,55
