Mask Value,T1,T2,Rho
0,382,68,70
1,1328,61,90
2,1142,154,90
3,1142,154,90
4,1142,154,90
5,809,34,90
6,1142,154,90
7,725,43,90
8,1142,154,90
9,1142,154,90
10,1,1,0
11,1,1,0
12,1718,15.3,70
13,1322,65.5,90
14,1322,65.5,90
15,1322,65.5,90
16,1142,154,90
17,1142,154,90
18,586,49,25
19,586,49,25
20,250,20,25
21,993,78,70
22,1984.4,275,95
23,1984.4,275,95
24,1984.4,275,95
25,1984.4,275,95
26,1984.4,275,95
27,1984.4,275,95
28,1984.4,275,95
29,1984.4,275,95
30,586,49,25
31,586,49,25
32,586,49,25
33,586,49,25
34,586,49,25
35,586,49,25
36,586,49,25
37,586,49,25
38,1232.9,37.2,80
39,1232.9,37.2,80
40,1232.9,37.2,80
41,1232.9,37.2,80
42,1232.9,37.2,80
43,1232.9,37.2,80
44,1232.9,37.2,80
45,1232.9,37.2,80
46,1232.9,37.2,80
47,1232.9,37.2,80
48,1232.9,37.2,80
49,1232.9,37.2,80
50,1232.9,37.2,80
51,1232.9,37.2,80
52,1232.9,37.2,80
53,1232.9,37.2,80
54,1232.9,37.2,80
55,1232.9,37.2,80
99,240,85,95
100,1328,61,90
101,1142,154,90
102,1142,154,90
103,1142,154,90
104,809,34,90
105,1142,154,90
106,725,43,90
107,1142,154,90
108,1142,154,90
109,1,1,0
110,1,1,0
111,1718,15.3,70
112,1322,65.5,90
113,1322,65.5,90
114,1322,65.5,90
115,1142,154,90
116,1142,154,90
117,586,49,25
118,586,49,25
119,250,20,25
120,993,78,70
121,1984.4,275,95
122,1984.4,275,95
123,1984.4,275,95
124,1984.4,275,95
125,1984.4,275,95
126,1984.4,275,95
127,1984.4,275,95
128,1984.4,275,95
129,586,49,25
130,586,49,25
131,586,49,25
132,586,49,25
133,586,49,25
134,586,49,25
135,586,49,25
136,586,49,25
137,1232.9,37.2,80
138,1232.9,37.2,80
139,1232.9,37.2,80
140,1232.9,37.2,80
141,1232.9,37.2,80
142,1232.9,37.2,80
143,1232.9,37.2,80
144,1232.9,37.2,80
145,1232.9,37.2,80
146,1232.9,37.2,80
147,1232.9,37.2,80
148,1232.9,37.2,80
149,1232.9,37.2,80
150,1232.9,37.2,80
151,1232.9,37.2,80
152,1232.9,37.2,80
153,1232.9,37.2,80
154,1232.9,37.2,80
155,1232.9,37.2,80
199,240,85,95
200,1328,61,90
201,1142,154,90
202,1142,154,90
203,1142,154,90
204,809,34,90
205,1142,154,90
206,725,43,90
207,1142,154,90
208,1142,154,90
209,1,1,0
210,1,1,0
211,1718,15.3,70
212,1322,65.5,90
213,1322,65.5,90
214,1322,65.5,90
215,1142,154,90
216,1142,154,90
217,586,49,25
218,586,49,25
219,250,20,25
220,993,78,70
221,1984.4,275,95
222,1984.4,275,95
223,1984.4,275,95
224,1984.4,275,95
225,1984.4,275,95
226,1984.4,275,95
227,1984.4,275,95
228,1984.4,275,95
229,586,49,25
230,586,49,25
231,586,49,25
232,586,49,25
233,586,49,25
234,586,49,25
235,586,49,25
236,586,49,25
237,1232.9,37.2,80
238,1232.9,37.2,80
239,1232.9,37.2,80
240,1232.9,37.2,80
241,1232.9,37.2,80
242,1232.9,37.2,80
243,1232.9,37.2,80
244,1232.9,37.2,80
245,1232.9,37.2,80
246,1232.9,37.2,80
247,1232.9,37.2,80
248,1232.9,37.2,80
249,1232.9,37.2,80
250,1232.9,37.2,80
251,1232.9,37.2,80
252,1232.9,37.2,80
253,1232.9,37.2,80
254,1232.9,37.2,80
255,1232.9,37.2,80
299,1232.9,37.2,80
300,1328,61,90
301,1142,154,90
302,1142,154,90
303,1142,154,90
304,809,34,90
305,1142,154,90
306,725,43,90
307,1142,154,90
308,1142,154,90
309,1,1,0
310,1,1,0
311,1718,15.3,70
312,1322,65.5,90
313,1322,65.5,90
314,1322,65.5,90
315,1142,154,90
316,1142,154,90
317,586,49,25
318,586,49,25
319,250,20,25
320,993,78,70
321,1984.4,275,95
322,1984.4,275,95
323,1984.4,275,95
324,1984.4,275,95
325,1984.4,275,95
326,1984.4,275,95
327,1984.4,275,95
328,1984.4,275,95
329,586,49,25
330,586,49,25
331,586,49,25
332,586,49,25
333,586,49,25
334,586,49,25
335,586,49,25
336,586,49,25
337,1232.9,37.2,80
338,1232.9,37.2,80
339,1232.9,37.2,80
340,1232.9,37.2,80
341,1232.9,37.2,80
342,1232.9,37.2,80
343,1232.9,37.2,80
344,1232.9,37.2,80
345,1232.9,37.2,80
346,1232.9,37.2,80
347,1232.9,37.2,80
348,1232.9,37.2,80
349,1232.9,37.2,80
350,1232.9,37.2,80
351,1232.9,37.2,80
352,1232.9,37.2,80
353,1232.9,37.2,80
354,1232.9,37.2,80
355,1232.9,37.2,80
