Mask Value,T1,T2,Rho
0,382,68,70
1,1328,61,90
2,1142,154,90
3,1142,154,90
4,1142,154,90
5,809,34,90
6,1142,154,90
7,725,43,90
8,1142,154,90
9,1142,154,90
10,1,1,0
11,1,1,0
12,1718,15.3,70
13,1322,65.5,90
14,1322,65.5,90
15,1322,65.5,90
16,1142,154,90
17,1142,154,90
18,586,49,25
19,586,49,25
20,250,20,25
21,993,78,70
22,1984.4,275,95
23,1984.4,275,95
24,1984.4,275,95
25,1984.4,275,95
26,1984.4,275,95
27,1984.4,275,95
28,1984.4,275,95
29,1984.4,275,95
30,586,49,25
31,586,49,25
32,586,49,25
33,586,49,25
34,586,49,25
35,586,49,25
36,586,49,25
37,586,49,25
38,1232.9,37.2,80
39,1232.9,37.2,80
40,1232.9,37.2,80
41,1232.9,37.2,80
42,1232.9,37.2,80
43,1232.9,37.2,80
44,1232.9,37.2,80
45,1232.9,37.2,80
46,1232.9,37.2,80
47,1232.9,37.2,80
48,1232.9,37.2,80
49,1232.9,37.2,80
50,1232.9,37.2,80
51,1232.9,37.2,80
52,1232.9,37.2,80
53,1232.9,37.2,80
54,1232.9,37.2,80
55,1232.9,37.2,80
201,240,85,95
202,300,70,90
203,1142,154,90

